0,CombatZoneSpeed,1000
0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.03333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMaxFallSpeed,1000
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.13333,SansSlam,1,,,,,,,
0.25,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,54,0.05333,0.5,,,,
0.35,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.2,Sound,GasterBlaster,1.4,,,,,,
0.2,SineBones,20,-24,720,25,,,,
0.55,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.151,0.13333
0,GasterBlaster,1,0,0,259,166,90,0.151,0.13333
0,GasterBlaster,1,640,480,449,366,180,0.151,0.13333
0,GasterBlaster,1,640,480,379,446,270,0.151,0.13333
0.45,GasterBlaster,1,0,0,189,176,45,0.151,0.13333
0,GasterBlaster,1,640,0,449,176,135,0.151,0.13333
0,GasterBlaster,1,640,480,449,436,225,0.151,0.13333
0,GasterBlaster,1,0,480,189,436,315,0.151,0.13333
0.45,GasterBlaster,1,0,0,189,246,0,0.151,0.13333
0,GasterBlaster,1,0,0,259,166,90,0.151,0.13333
0,GasterBlaster,1,640,480,449,366,180,0.151,0.13333
0,GasterBlaster,1,640,480,379,446,270,0.151,0.13333
0.35,GasterBlaster,2,0,240,139,306,0,0.333,0.25
0,GasterBlaster,2,640,240,499,306,180,0.333,0.25
1.5,SansHead,Default,,,,,,,
0,SansText,here we go.,,,,,,,
0,EndAttack,,,,,,,,
