0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376
0,HeartMode,1
0,TLPause
0.5,BoneVRepeat,128,366,20,0,120,16,76
0,BoneVRepeat,513,257,107,2,120,16,76
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
0.5,BoneV,128,366,20,0,120,2
0,BoneV,513,257,107,2,120,2
5,SansHead,LookLeft
0,SansText,huh,
2,SansHead,Default
0,SansTorso,Shrug
0,SansAnimation,Idle
0,SansText,i feel like...,
0,SansText,i need to say somethin,
0,SansTorso,Default
0,SansAnimation,Idle
0,SansSweat,2
0,EndAttack
